Length of leaves (cm),Width of leaves (cm),Area of leaves (cm²),Average Red of leaves,Average Green of leaves,Average Blue of leaves,Fruit Color (RGB)
5.1,3.2,16.32,130,155,90,"(0,255,0)"
4.8,3,14.4,125,150,85,"(255,255,0)"
5,3.1,15.5,128,152,87,"(0,255,0)"
4.9,3,14.7,126,151,86,"(255,255,0)"
4.7,2.9,13.63,123,148,83,"(0,255,0)"
5.2,3.3,17.16,132,158,92,"(255,255,0)"
5.3,3.4,18.02,134,160,93,"(255,255,0)"
5,3.2,16,129,154,89,"(255,255,0)"
4.8,2.9,13.92,124,149,84,"(0,255,0)"
5.1,3.3,16.83,131,156,91,"(0,255,0)"
4.9,3.1,15.19,127,153,88,"(0,255,0)"
4.7,2.8,13.16,122,147,82,"(255,255,0)"
5.3,3.5,18.55,135,161,94,"(255,255,0)"
5,3.4,17,130,155,90,"(0,255,0)"
4.8,3,14.4,125,150,85,"(255,255,0)"
5.2,3.3,17.16,132,158,92,"(0,255,0)"
5.3,3.2,16.96,134,160,93,"(0,255,0)"
5.1,3.1,15.81,131,156,91,"(0,255,0)"
4.9,3,14.7,126,151,86,"(255,255,0)"
4.7,2.9,13.63,123,148,83,"(255,255,0)"
5.2,3.3,17.16,132,158,92,"(0,255,0)"
5.3,3.4,18.02,134,160,93,"(0,255,0)"
5.1,3.2,16.32,130,155,90,"(0,255,0)"
4.8,3,14.4,125,150,85,"(0,255,0)"
5,3.1,15.5,128,152,87,"(255,255,0)"
4.9,3,14.7,126,151,86,"(255,255,0)"
4.7,2.9,13.63,123,148,83,"(0,255,0)"
