Length of leaves (cm),Width of leaves (cm),Area of leaves (cm²),Average Red of leaves,Average Green of leaves,Average Blue of leaves,Fruit Color (RGB)
6.2,3.5,21.7,130,145,100,"(255,165,0)"
6.5,3.8,24.7,135,150,105,"(255,165,0)"
6.8,3.9,26.52,140,155,110,"(255,165,0)"
6.4,3.7,23.68,133,148,103,"(255,165,0)"
6.6,3.8,25.08,137,152,107,"(255,165,0)"
6,3.4,20.4,125,140,95,"(255,0,0)"
5.8,3.3,19.14,120,135,90,"(255,165,0)"
6.3,3.6,22.68,128,143,97,"(255,165,0)"
6.1,3.5,21.35,127,142,96,"(255,0,0)"
6.7,3.8,25.46,138,153,108,"(255,0,0)"
6.9,4,27.6,142,157,112,"(255,165,0)"
5.9,3.4,20.06,123,138,93,"(255,0,0)"
6.4,3.9,24.96,130,145,100,"(255,165,0)"
6.3,3.7,22.81,128,143,98,"(255,165,0)"
6.1,3.8,23.18,126,141,97,"(255,0,0)"
6.5,3.9,25.35,135,150,105,"(255,0,0)"
5.7,3.2,18.24,118,133,88,"(255,0,0)"
6,3.3,19.8,124,139,94,"(255,165,0)"
5.6,3.1,17.36,115,130,85,"(255,165,0)"
6.2,3.6,21.12,132,147,101,"(255,0,0)"
6.8,4,27.2,140,155,110,"(255,0,0)"
5.7,3.3,18.81,120,135,90,"(255,165,0)"
6.6,3.7,24.42,136,151,106,"(255,165,0)"
6.4,3.5,22.4,130,145,100,"(255,165,0)"
5.9,3.6,21.24,122,137,92,"(255,165,0)"
6.7,3.9,25.93,138,153,108,"(255,0,0)"
6.3,3.8,24.04,129,144,99,"(255,0,0)"
6.1,3.4,20.74,126,141,97,"(255,0,0)"
6.5,3.7,24.05,133,148,103,"(255,165,0)"
6,3.6,21.6,125,140,95,"(255,165,0)"
5.8,3.5,20.3,123,138,93,"(255,0,0)"
6.9,3.9,26.91,141,156,111,"(255,0,0)"
6.2,3.7,22.94,130,145,100,"(255,0,0)"
6.4,3.6,23.04,131,146,101,"(255,165,0)"
6.6,3.5,23.1,135,150,105,"(255,165,0)"
5.9,3.8,22.42,124,139,94,"(255,165,0)"
6.8,3.6,24.48,138,153,108,"(255,0,0)"
6.7,3.5,23.45,137,152,107,"(255,0,0)"
5.7,3.1,17.67,119,134,89,"(255,165,0)"
6.5,3.6,23.4,134,149,104,"(255,165,0)"
